"Ativo","Data","Fechamento|ajust p/ prov|Em moeda orig"
"CDI Acumulado<BraNa>","Mar-2000",549.52161
"CDI Acumulado<BraNa>","Abr-2000",556.57631
"CDI Acumulado<BraNa>","Mai-2000",564.85885
"CDI Acumulado<BraNa>","Jun-2000",572.68326
"CDI Acumulado<BraNa>","Jul-2000",580.13668
"CDI Acumulado<BraNa>","Ago-2000",588.22961426
"CDI Acumulado<BraNa>","Set-2000",595.38855
"CDI Acumulado<BraNa>","Out-2000",603.00653
"CDI Acumulado<BraNa>","Nov-2000",610.33659
"CDI Acumulado<BraNa>","Dez-2000",617.62261963
"CDI Acumulado<BraNa>","Jan-2001",625.39599609
"CDI Acumulado<BraNa>","Fev-2001",631.70977783
"CDI Acumulado<BraNa>","Mar-2001",639.6060791
"CDI Acumulado<BraNa>","Abr-2001",647.15568
"CDI Acumulado<BraNa>","Mai-2001",655.79123
"CDI Acumulado<BraNa>","Jun-2001",664.13999
"CDI Acumulado<BraNa>","Jul-2001",674.11194
"CDI Acumulado<BraNa>","Ago-2001",684.90596
"CDI Acumulado<BraNa>","Set-2001",693.96677
"CDI Acumulado<BraNa>","Out-2001",704.61236
"CDI Acumulado<BraNa>","Nov-2001",714.42972
"CDI Acumulado<BraNa>","Dez-2001",724.38604
"CDI Acumulado<BraNa>","Jan-2002",735.48283
"CDI Acumulado<BraNa>","Fev-2002",744.65775
"CDI Acumulado<BraNa>","Mar-2002",754.85914
"CDI Acumulado<BraNa>","Abr-2002",766.05333
"CDI Acumulado<BraNa>","Mai-2002",776.80608
"CDI Acumulado<BraNa>","Jun-2002",786.98022461
"CDI Acumulado<BraNa>","Jul-2002",799.05090332
"CDI Acumulado<BraNa>","Ago-2002",810.60164
"CDI Acumulado<BraNa>","Set-2002",821.79409
"CDI Acumulado<BraNa>","Out-2002",835.28326
"CDI Acumulado<BraNa>","Nov-2002",848.09252
"CDI Acumulado<BraNa>","Dez-2002",862.79914
"CDI Acumulado<BraNa>","Jan-2003",879.75701
"CDI Acumulado<BraNa>","Fev-2003",895.83448
"CDI Acumulado<BraNa>","Mar-2003",911.71866
"CDI Acumulado<BraNa>","Abr-2003",928.7309
"CDI Acumulado<BraNa>","Mai-2003",946.92802
"CDI Acumulado<BraNa>","Jun-2003",964.45355
"CDI Acumulado<BraNa>","Jul-2003",984.4722
"CDI Acumulado<BraNa>","Ago-2003",1001.84422
"CDI Acumulado<BraNa>","Set-2003",1018.56638
"CDI Acumulado<BraNa>","Out-2003",1035.20142
"CDI Acumulado<BraNa>","Nov-2003",1049.05339
"CDI Acumulado<BraNa>","Dez-2003",1063.38082
"CDI Acumulado<BraNa>","Jan-2004",1076.78549
"CDI Acumulado<BraNa>","Fev-2004",1088.41083
"CDI Acumulado<BraNa>","Mar-2004",1103.37007
"CDI Acumulado<BraNa>","Abr-2004",1116.33111
"CDI Acumulado<BraNa>","Mai-2004",1130.00454
"CDI Acumulado<BraNa>","Jun-2004",1143.83095
"CDI Acumulado<BraNa>","Jul-2004",1158.49237
"CDI Acumulado<BraNa>","Ago-2004",1173.39161
"CDI Acumulado<BraNa>","Set-2004",1187.99006
"CDI Acumulado<BraNa>","Out-2004",1202.34233
"CDI Acumulado<BraNa>","Nov-2004",1217.35665
"CDI Acumulado<BraNa>","Dez-2004",1235.37201
"CDI Acumulado<BraNa>","Jan-2005",1252.45458
"CDI Acumulado<BraNa>","Fev-2005",1267.68338
"CDI Acumulado<BraNa>","Mar-2005",1286.97721
"CDI Acumulado<BraNa>","Abr-2005",1305.09811
"CDI Acumulado<BraNa>","Mai-2005",1324.68032
"CDI Acumulado<BraNa>","Jun-2005",1345.66925
"CDI Acumulado<BraNa>","Jul-2005",1365.98577
"CDI Acumulado<BraNa>","Ago-2005",1388.56352
"CDI Acumulado<BraNa>","Set-2005",1409.38731
"CDI Acumulado<BraNa>","Out-2005",1429.16544
"CDI Acumulado<BraNa>","Nov-2005",1448.83555
"CDI Acumulado<BraNa>","Dez-2005",1470.0875
"CDI Acumulado<BraNa>","Jan-2006",1491.04532
"CDI Acumulado<BraNa>","Fev-2006",1508.04429
"CDI Acumulado<BraNa>","Mar-2006",1529.43348
"CDI Acumulado<BraNa>","Abr-2006",1545.88029
"CDI Acumulado<BraNa>","Mai-2006",1565.63979
"CDI Acumulado<BraNa>","Jun-2006",1584.14829
"CDI Acumulado<BraNa>","Jul-2006",1602.63476
"CDI Acumulado<BraNa>","Ago-2006",1622.68887
"CDI Acumulado<BraNa>","Set-2006",1639.77859
"CDI Acumulado<BraNa>","Out-2006",1657.65413
"CDI Acumulado<BraNa>","Nov-2006",1674.51721
"CDI Acumulado<BraNa>","Dez-2006",1690.99957
"CDI Acumulado<BraNa>","Jan-2007",1709.2353
"CDI Acumulado<BraNa>","Fev-2007",1724.10201
"CDI Acumulado<BraNa>","Mar-2007",1742.18021
"CDI Acumulado<BraNa>","Abr-2007",1758.56754
"CDI Acumulado<BraNa>","Mai-2007",1776.54226
"CDI Acumulado<BraNa>","Jun-2007",1792.55734
"CDI Acumulado<BraNa>","Jul-2007",1809.9119
"CDI Acumulado<BraNa>","Ago-2007",1827.79055
"CDI Acumulado<BraNa>","Set-2007",1842.42319
"CDI Acumulado<BraNa>","Out-2007",1859.4486
"CDI Acumulado<BraNa>","Nov-2007",1875.06493
"CDI Acumulado<BraNa>","Dez-2007",1890.80498
"CDI Acumulado<BraNa>","Jan-2008",1908.23726
"CDI Acumulado<BraNa>","Fev-2008",1923.40821
"CDI Acumulado<BraNa>","Mar-2008",1939.53675
"CDI Acumulado<BraNa>","Abr-2008",1956.95035
"CDI Acumulado<BraNa>","Mai-2008",1973.99969
"CDI Acumulado<BraNa>","Jun-2008",1992.71763
"CDI Acumulado<BraNa>","Jul-2008",2013.925
"CDI Acumulado<BraNa>","Ago-2008",2034.32247
"CDI Acumulado<BraNa>","Set-2008",2056.66996
"CDI Acumulado<BraNa>","Out-2008",2080.8124
"CDI Acumulado<BraNa>","Nov-2008",2101.53379
"CDI Acumulado<BraNa>","Dez-2008",2124.88298
"CDI Acumulado<BraNa>","Jan-2009",2147.04102
"CDI Acumulado<BraNa>","Fev-2009",2165.34913
"CDI Acumulado<BraNa>","Mar-2009",2186.27816
"CDI Acumulado<BraNa>","Abr-2009",2204.54684
"CDI Acumulado<BraNa>","Mai-2009",2221.4445
"CDI Acumulado<BraNa>","Jun-2009",2238.13718
"CDI Acumulado<BraNa>","Jul-2009",2255.68601
"CDI Acumulado<BraNa>","Ago-2009",2271.28319
"CDI Acumulado<BraNa>","Set-2009",2286.9899
"CDI Acumulado<BraNa>","Out-2009",2302.79765
"CDI Acumulado<BraNa>","Nov-2009",2317.97346
"CDI Acumulado<BraNa>","Dez-2009",2334.75278
"CDI Acumulado<BraNa>","Jan-2010",2350.12029
"CDI Acumulado<BraNa>","Fev-2010",2364.04485
"CDI Acumulado<BraNa>","Mar-2010",2381.93913
"CDI Acumulado<BraNa>","Abr-2010",2397.75426
"CDI Acumulado<BraNa>","Mai-2010",2415.73967
"CDI Acumulado<BraNa>","Jun-2010",2434.84403
"CDI Acumulado<BraNa>","Jul-2010",2455.76453
"CDI Acumulado<BraNa>","Ago-2010",2477.52998
"CDI Acumulado<BraNa>","Set-2010",2498.45431
"CDI Acumulado<BraNa>","Out-2010",2518.58346
"CDI Acumulado<BraNa>","Nov-2010",2538.87389
"CDI Acumulado<BraNa>","Dez-2010",2562.41307
"CDI Acumulado<BraNa>","Jan-2011",2584.46499
"CDI Acumulado<BraNa>","Fev-2011",2606.23727
"CDI Acumulado<BraNa>","Mar-2011",2630.18469
"CDI Acumulado<BraNa>","Abr-2011",2652.24668
"CDI Acumulado<BraNa>","Mai-2011",2678.3784
"CDI Acumulado<BraNa>","Jun-2011",2703.89443
"CDI Acumulado<BraNa>","Jul-2011",2730.03023
"CDI Acumulado<BraNa>","Ago-2011",2759.30667
"CDI Acumulado<BraNa>","Set-2011",2785.23834
"CDI Acumulado<BraNa>","Out-2011",2809.76908
"CDI Acumulado<BraNa>","Nov-2011",2833.89419
"CDI Acumulado<BraNa>","Dez-2011",2859.53144
"CDI Acumulado<BraNa>","Jan-2012",2884.84688
"CDI Acumulado<BraNa>","Fev-2012",2906.24068
"CDI Acumulado<BraNa>","Mar-2012",2929.73169
"CDI Acumulado<BraNa>","Abr-2012",2950.2371
"CDI Acumulado<BraNa>","Mai-2012",2971.84709
"CDI Acumulado<BraNa>","Jun-2012",2990.82484
"CDI Acumulado<BraNa>","Jul-2012",3011.02532
"CDI Acumulado<BraNa>","Ago-2012",3031.69769
"CDI Acumulado<BraNa>","Set-2012",3047.98343
"CDI Acumulado<BraNa>","Out-2012",3066.49338
"CDI Acumulado<BraNa>","Nov-2012",3083.19021
"CDI Acumulado<BraNa>","Dez-2012",3099.66177
"CDI Acumulado<BraNa>","Jan-2013",3117.84547
"CDI Acumulado<BraNa>","Fev-2013",3132.86027
"CDI Acumulado<BraNa>","Mar-2013",3149.70595
"CDI Acumulado<BraNa>","Abr-2013",3168.63072
"CDI Acumulado<BraNa>","Mai-2013",3187.16273
"CDI Acumulado<BraNa>","Jun-2013",3206.02894
"CDI Acumulado<BraNa>","Jul-2013",3228.75308
"CDI Acumulado<BraNa>","Ago-2013",3251.21837
"CDI Acumulado<BraNa>","Set-2013",3273.94912
"CDI Acumulado<BraNa>","Out-2013",3300.25101
"CDI Acumulado<BraNa>","Nov-2013",3323.69995
"CDI Acumulado<BraNa>","Dez-2013",3349.63744
"CDI Acumulado<BraNa>","Jan-2014",3377.76685
"CDI Acumulado<BraNa>","Fev-2014",3404.20371
"CDI Acumulado<BraNa>","Mar-2014",3430.07391
"CDI Acumulado<BraNa>","Abr-2014",3458.04461
"CDI Acumulado<BraNa>","Mai-2014",3487.72503
"CDI Acumulado<BraNa>","Jun-2014",3516.23392
"CDI Acumulado<BraNa>","Jul-2014",3549.30154
"CDI Acumulado<BraNa>","Ago-2014",3579.8088
"CDI Acumulado<BraNa>","Set-2014",3612.04798
"CDI Acumulado<BraNa>","Out-2014",3646.17456
"CDI Acumulado<BraNa>","Nov-2014",3676.72424
"CDI Acumulado<BraNa>","Dez-2014",3711.86785
"CDI Acumulado<BraNa>","Jan-2015",3746.36395
"CDI Acumulado<BraNa>","Fev-2015",3777.02887
"CDI Acumulado<BraNa>","Mar-2015",3816.16357
"CDI Acumulado<BraNa>","Abr-2015",3852.35129
"CDI Acumulado<BraNa>","Mai-2015",3890.25245
"CDI Acumulado<BraNa>","Jun-2015",3931.71591
"CDI Acumulado<BraNa>","Jul-2015",3978.00463
"CDI Acumulado<BraNa>","Ago-2015",4022.06055
"CDI Acumulado<BraNa>","Set-2015",4066.60437
"CDI Acumulado<BraNa>","Out-2015",4111.65151
"CDI Acumulado<BraNa>","Nov-2015",4155.03668
"CDI Acumulado<BraNa>","Dez-2015",4203.28925
"CDI Acumulado<BraNa>","Jan-2016",4247.63099
"CDI Acumulado<BraNa>","Fev-2016",4290.17041
"CDI Acumulado<BraNa>","Mar-2016",4339.95912
"CDI Acumulado<BraNa>","Abr-2016",4385.7228
"CDI Acumulado<BraNa>","Mai-2016",4434.29412
"CDI Acumulado<BraNa>","Jun-2016",4485.75542
"CDI Acumulado<BraNa>","Jul-2016",4535.43458
"CDI Acumulado<BraNa>","Ago-2016",4590.47661
"CDI Acumulado<BraNa>","Set-2016",4641.31554
"CDI Acumulado<BraNa>","Out-2016",4689.93045
"CDI Acumulado<BraNa>","Nov-2016",4738.55977
"CDI Acumulado<BraNa>","Dez-2016",4791.71514
"CDI Acumulado<BraNa>","Jan-2017",4843.68443
"CDI Acumulado<BraNa>","Fev-2017",4885.52477
"CDI Acumulado<BraNa>","Mar-2017",4936.84308
"CDI Acumulado<BraNa>","Abr-2017",4975.61188
"CDI Acumulado<BraNa>","Mai-2017",5021.6639
"CDI Acumulado<BraNa>","Jun-2017",5062.2439
"CDI Acumulado<BraNa>","Jul-2017",5102.59774
"CDI Acumulado<BraNa>","Ago-2017",5143.49262
"CDI Acumulado<BraNa>","Set-2017",5176.29364
"CDI Acumulado<BraNa>","Out-2017",5209.58494
"CDI Acumulado<BraNa>","Nov-2017",5239.14685
"CDI Acumulado<BraNa>","Dez-2017",5267.31554
"CDI Acumulado<BraNa>","Jan-2018",5298.04432
"CDI Acumulado<BraNa>","Fev-2018",5322.67637
"CDI Acumulado<BraNa>","Mar-2018",5350.96942
"CDI Acumulado<BraNa>","Abr-2018",5378.66137
"CDI Acumulado<BraNa>","Mai-2018",5406.49663
"CDI Acumulado<BraNa>","Jun-2018",5434.47595
"CDI Acumulado<BraNa>","Jul-2018",5463.94293
"CDI Acumulado<BraNa>","Ago-2018",5494.92017
"CDI Acumulado<BraNa>","Set-2018",5520.64248
"CDI Acumulado<BraNa>","Out-2018",5550.62222
"CDI Acumulado<BraNa>","Nov-2018",5578.01778
"CDI Acumulado<BraNa>","Dez-2018",5605.54854
"CDI Acumulado<BraNa>","Jan-2019",5635.98935
"CDI Acumulado<BraNa>","Fev-2019",5663.80625
"CDI Acumulado<BraNa>","Mar-2019",5690.35946
"CDI Acumulado<BraNa>","Abr-2019",5719.85262
"CDI Acumulado<BraNa>","Mai-2019",5750.91417
"CDI Acumulado<BraNa>","Jun-2019",5777.87578
"CDI Acumulado<BraNa>","Jul-2019",5810.68267
"CDI Acumulado<BraNa>","Ago-2019",5839.83553
"CDI Acumulado<BraNa>","Set-2019",5866.91816
"CDI Acumulado<BraNa>","Out-2019",5895.03644
"CDI Acumulado<BraNa>","Nov-2019",5917.46016
"CDI Acumulado<BraNa>","Dez-2019",5939.63271
"CDI Acumulado<BraNa>","Jan-2020",5962.00277
"CDI Acumulado<BraNa>","Fev-2020",5979.5148
"CDI Acumulado<BraNa>","Mar-2020",5999.74768
"CDI Acumulado<BraNa>","Abr-2020",6016.84253
"CDI Acumulado<BraNa>","Mai-2020",6031.03069
"CDI Acumulado<BraNa>","Jun-2020",6043.83625
"CDI Acumulado<BraNa>","Jul-2020",6055.58178
"CDI Acumulado<BraNa>","Ago-2020",6065.26422
"CDI Acumulado<BraNa>","Set-2020",6074.78493
"CDI Acumulado<BraNa>","Out-2020",6084.32058
"CDI Acumulado<BraNa>","Nov-2020",6093.41608
"CDI Acumulado<BraNa>","Dez-2020",6103.43684
"CDI Acumulado<BraNa>","Jan-2021",6112.5609
"CDI Acumulado<BraNa>","Fev-2021",6120.78422
"CDI Acumulado<BraNa>","Mar-2021",6133.09238
"CDI Acumulado<BraNa>","Abr-2021",6145.83661
"CDI Acumulado<BraNa>","Mai-2021",6162.45012
"CDI Acumulado<BraNa>","Jun-2021",6181.4166
"CDI Acumulado<BraNa>","Jul-2021",6203.39874
"CDI Acumulado<BraNa>","Ago-2021",6229.94591
"CDI Acumulado<BraNa>","Set-2021",6257.48175
"CDI Acumulado<BraNa>","Out-2021",6287.89239
"CDI Acumulado<BraNa>","Nov-2021",6324.78686
"CDI Acumulado<BraNa>","Dez-2021",6373.4301
"CDI Acumulado<BraNa>","Jan-2022",6420.10117
"CDI Acumulado<BraNa>","Fev-2022",6468.57508
"CDI Acumulado<BraNa>","Mar-2022",6528.5421
"CDI Acumulado<BraNa>","Abr-2022",6583.01135
"CDI Acumulado<BraNa>","Mai-2022",6651.11901
"CDI Acumulado<BraNa>","Jun-2022",6718.64934
"CDI Acumulado<BraNa>","Jul-2022",6788.17746
"CDI Acumulado<BraNa>","Ago-2022",6867.55593
"CDI Acumulado<BraNa>","Set-2022",6941.17496
"CDI Acumulado<BraNa>","Out-2022",7012.02191
"CDI Acumulado<BraNa>","Nov-2022",7083.59198
"CDI Acumulado<BraNa>","Dez-2022",7163.16305
"CDI Acumulado<BraNa>","Jan-2023",7243.62798
"CDI Acumulado<BraNa>","Fev-2023",7310.13476
"CDI Acumulado<BraNa>","Mar-2023",7396.005
"CDI Acumulado<BraNa>","Abr-2023",7463.9108
"CDI Acumulado<BraNa>","Mai-2023",7547.75409
"CDI Acumulado<BraNa>","Jun-2023",7628.66473
"CDI Acumulado<BraNa>","Jul-2023",7710.44273
"CDI Acumulado<BraNa>","Ago-2023",7752.40722
